GROUP_CLASSIFY,GROUP_CODE_1,GROUP_CODE_2,GROUP_CODE_3,GROUP_CODE_4,GROUP_CODE_5,SHORT_NAME,GROUP_NAME_E,INV_DV
4,01,01,01,11,,MP1,MP1,
4,01,01,01,13,,MP2,MP2,
4,01,01,01,14,,MP3,MP3,
4,01,01,01,17,,MP38,MP38,
4,01,01,01,18,,MP45,MP45,
4,01,01,02,08,,SPHT-3,SPHT-3,
4,01,01,02,11,,MP1,MP1,
4,01,01,02,14,,MP3,MP3,
4,01,01,02,17,,MP38,MP38,
4,01,01,02,18,,MP45,MP45,
4,01,01,02,19,,MP-1D,MP-1D,
4,01,01,02,20,,MP-1M,MP-1M,
4,01,01,02,25,,JFE-HA540R,JFE-HA540R,
4,01,01,02,26,,JFE-HA590R,JFE-HA590R,
4,01,01,03,01,,JFE-CC,JFE-CC,
4,01,01,03,02,,SPCC-SD,SPCC-SD,
4,01,01,03,04,,SPCC-S-D9-PA1,SPCC-S-D9-PA1,
4,01,01,03,10,,JFE-CA370,JFE-CA370,
4,01,01,03,11,,JFE-CA590Y1,JFE-CA590Y1,
4,01,01,03,12,,JFE-CA590,JFE-CA590,
4,01,01,05,15,,MP1 Z27,MP1 Z27,
4,01,01,10,04,,SUS304-2B,SUS304-2B,
4,01,01,10,09,,SUH409-2D,SUH409-2D,
4,02,00,20,11,,C350L0,C350L0,
4,02,00,21,01,,STKM11A,STKM11A,
4,02,00,21,02,,STKMR11A,STKMR11A,
4,02,00,21,03,,STK290-E-G,STK290-E-G,
4,02,00,21,04,,SGP-E-G,SGP-E-G,
4,02,00,21,07,,STKMR13A,STKMR13A,
4,02,00,21,08,,STKM13A,STKM13A,
4,02,00,21,09,,STKR400,STKR400,
4,02,00,21,14,,STKM18A,STKM18A,
4,02,00,21,15,,STKMR18A,STKMR18A,
4,02,00,21,21,,ASTM A53M GR.B TYPE-E,ASTM A53M GR.B TYPE-E,
4,02,00,21,32,,SPHC ep,SPHC ep,
4,02,00,21,38,,SER-SGP,SER-SGP,
4,02,00,22,01,,STKM11A,STKM11A,
4,02,00,22,02,,STKMR11A,STKMR11A,
4,02,00,22,03,,STK290-E-G,STK290-E-G,
4,02,00,22,05,,STKM12A,STKM12A,
4,02,00,22,06,,STKM12C,STKM12C,
4,02,00,22,07,,STKMR13A,STKMR13A,
4,02,00,22,08,,STKM13A,STKM13A,
4,02,00,22,09,,STKM14B,STKM14B,
4,02,00,22,10,,STKM-550,STKM-550,
4,02,00,22,12,,STKMRHT490,STKMRHT490,
4,02,00,22,14,,STKM18A,STKM18A,
4,02,00,22,59,,STAM290GA,STAM290GA,
4,02,00,22,60,,STAM390G,STAM390G,
4,02,00,22,61,,STKMHT490,STKMHT490,
4,02,00,22,62,,STKMHT590,STKMHT590,
4,02,00,22,63,,STKMRR290,STKMRR290,
4,02,00,22,64,,STKMRR370,STKMRR370,
4,02,00,22,65,,STKMRHT590,STKMRHT590,
4,02,00,22,66,,STKM17AM,STKM17AM,
4,02,00,22,67,,STKM13C,STKM13C,
4,02,00,22,68,,STKM-HT590,STKM-HT590,
4,02,00,23,01,,STKM11A,STKM11A,
4,02,00,23,02,,STKMR11A,STKMR11A,
4,02,00,23,07,,HSST590C,HSST590C,
4,02,00,23,08,,STKM13A,STKM13A,
4,02,00,23,10,,STKM-550,STKM-550,
4,02,00,23,59,,STAM290GA,STAM290GA,
4,02,00,23,60,,STAM390G,STAM390G,
4,02,00,23,62,,STKMHT590,STKMHT590,
4,02,00,23,64,,STKMRR370,STKMRR370,
4,02,00,23,66,,STKM17AM,STKM17AM,
4,02,00,26,26,,SUS304,SUS304,
4,02,00,26,29,,SUS409L,SUS409L,
4,02,00,26,30,,SUS436L,SUS436L,
4,96,98,22,91,,Dây,,
4,96,98,22,92,,Vòng Bi,,
4,96,98,22,93,,Khí,,
4,96,98,22,94,,Nhóm Than,,
4,96,98,22,95,,Lưỡi Cắt,Cutting Tool,
4,96,98,22,96,,Dầu,Oil Group,
4,96,98,22,97,,Kẹp,,
4,96,98,22,98,,Đá,,
4,96,98,22,99,,Nhóm chung,,
4,96,98,26,93,,Khí,,
4,96,98,26,95,,Lưỡi Cắt,Cutting Tool,
4,96,98,26,96,,Oil,,
4,96,98,26,98,,Đá,,
4,96,98,26,99,,Nhóm Chung inox,,
4,96,98,99,92,,Vòng Bi,,
4,96,98,99,96,,Dầu,Oil,
4,96,98,99,98,,Đá,,
4,96,98,99,99,,Nhóm chung,,
4,96,99,22,95,,Tụ Điện,,
4,96,99,22,96,,Sensor,,
4,96,99,22,97,,Modul,,
4,96,99,22,98,,Bộ lập Trình,,
4,96,99,22,99,,Nhóm chung điện,,
4,96,99,99,99,,Nhóm Chung,,
4,99,00,61,00,,0,0,
4,99,00,62,00,,0,0,
4,99,00,63,00,,0,0,
4,99,00,64,00,,0,0,
4,99,00,65,00,,0,0,
4,99,00,66,00,,0,0,
4,99,00,67,00,,0,0,
4,99,00,68,00,,0,0,
4,99,00,69,00,,0,0,
4,99,00,70,00,,0,0,
4,99,00,71,00,,0,0,
4,99,00,72,00,,0,,
4,99,00,73,00,,0,,
4,99,00,75,00,,0,,
4,99,00,76,00,,0,,
4,99,00,77,00,,0,0,
4,99,00,78,00,,0,,
4,99,00,79,00,,0,0,
5,01,01,01,11,00,0,0,
5,01,01,01,13,00,0,0,
5,01,01,01,14,00,0,0,
5,01,01,01,17,00,0,0,
5,01,01,01,18,00,0,0,
5,01,01,02,08,00,0,0,
5,01,01,02,11,00,0,0,
5,01,01,02,14,00,0,0,
5,01,01,02,17,00,0,0,
5,01,01,02,18,00,0,0,
5,01,01,02,19,00,0,0,
5,01,01,02,20,00,0,0,
5,01,01,02,25,00,0,0,
5,01,01,02,26,00,0,0,
5,01,01,03,01,00,0,0,
5,01,01,03,02,00,0,0,
5,01,01,03,04,00,0,0,
5,01,01,03,10,00,0,0,
5,01,01,03,11,00,0,0,
5,01,01,03,12,00,0,0,
5,01,01,05,15,00,0,0,
5,01,01,10,04,00,0,0,
5,01,01,10,09,00,0,0,
5,02,00,20,11,00,PZ Pipe C350L0,PZ Pipe C350L0,
5,02,00,21,00,00,0,0,
5,02,00,21,01,03,MP1,MP1,
5,02,00,21,02,03,MP1,MP1,
5,02,00,21,03,03,MP1,MP1,
5,02,00,21,04,03,MP1,MP1,
5,02,00,21,07,10,MP38-P,MP38-P,
5,02,00,21,08,10,MP38-P,MP38-P,
5,02,00,21,09,11,MP2,MP2,
5,02,00,21,14,16,MP45,MP45,
5,02,00,21,15,16,MP45,MP45,
5,02,00,21,21,14,MP2A,MP2A,
5,02,00,21,32,24,MP1ep,MP1ep,
5,02,00,21,38,03,MP1,MP1,
5,02,00,22,01,03,MP1-P,MP1-P,
5,02,00,22,01,26,MP-1D-P,MP-1D-P,
5,02,00,22,01,39,MP-1M-P,MP-1M-P,
5,02,00,22,02,03,MP1-P,MP1-P,
5,02,00,22,03,03,MP1-P,MP1-P,
5,02,00,22,06,00,E-C,drawn pipe,
5,02,00,22,07,10,MP38-P,MP38-P,
5,02,00,22,08,10,MP38-P,MP38-P,
5,02,00,22,08,21,SPHT3,JIS G3132 SPHT3,
5,02,00,22,09,14,MP3-P,MP3-P,
5,02,00,22,10,42,JFE-HA590R-P,JFE-HA590R-P,
5,02,00,22,12,17,MP3-P,MP3-P,
5,02,00,22,14,16,MP45,MP45,
5,02,00,22,59,00,E-C,Drawn pipe,
5,02,00,22,59,26,MP-1D-P,MP-1D-P,
5,02,00,22,59,39,MP-1M-P,MP-1M-P,
5,02,00,22,60,10,MP38-P,MP38-P,
5,02,00,22,61,17,MP3-P,MP3-P,
5,02,00,22,62,40,JFE-HA540R-P,JFE-HA540R-P,
5,02,00,22,63,39,MP-1M-P,MP-1M-P,
5,02,00,22,64,10,MP38-P,MP38-P,
5,02,00,22,65,40,JFE-HA540R-P,JFE-HA540R-P,
5,02,00,22,66,40,JFE-HA540R-P,JFE-HA540R-P,
5,02,00,22,66,42,JFE-HA590R-P,JFE-HA590R-P,
5,02,00,22,67,00,E-C,Drawn pipe,
5,02,00,22,67,17,MP3-P,MP3-P,
5,02,00,22,68,40,JFE-HA540R-P,JFE-HA540R-P,
5,02,00,23,01,19,SPCC-SD,SPCC-SD,
5,02,00,23,01,20,JFE-CC,JFE-CC,
5,02,00,23,01,41,JFE-CA370,JFE-CA370,
5,02,00,23,02,19,SPCC-SD,SPCC-SD,
5,02,00,23,07,42,JFE-CA590,JFE-CA590,
5,02,00,23,08,41,JFE-CA370,JFE-CA370,
5,02,00,23,09,20,JFE-CC,JFE-CC,
5,02,00,23,10,43,JFE-CA590Y1,JFE-CA590Y1,
5,02,00,23,59,20,JFE-CC,JFE-CC,
5,02,00,23,60,41,JFE-CA370,JFE-CA370,
5,02,00,23,62,11,JFE-CA590Y1,JFE-CA590Y1,
5,02,00,23,64,41,JFE-CA370,JFE-CA370,
5,02,00,23,66,43,JFE-CA590Y1,JFE-CA590Y1,
5,02,00,26,26,02,SUS304 - 2B,SUS304 - 2B,
5,02,00,26,29,01,SUS409 - 2D,SUS409 - 2D,
5,02,00,26,30,01,SUS436L,SUS436L,
5,96,98,22,98,00,Nhóm đá,,
5,99,00,61,00,00,0,0,
5,99,00,62,00,00,0,0,
5,99,00,63,00,00,0,0,
5,99,00,64,00,00,0,0,
5,99,00,65,00,00,0,0,
5,99,00,66,00,00,0,0,
5,99,00,67,00,00,0,0,
5,99,00,68,00,00,0,0,
5,99,00,69,00,00,0,0,
5,99,00,70,00,00,0,0,
5,99,00,71,00,00,0,0,
5,99,00,72,00,00,0,,
5,99,00,73,00,00,0,,
5,99,00,75,00,00,0,,
5,99,00,76,00,00,0,,
5,99,00,77,00,00,0,,
5,99,00,78,00,00,00,,
5,99,00,79,00,00,0,0,
